heuristic_bucket_guess,utterance_id,policy_id,model_id,scenario_uid,unsupported_tokens,full_text
a_arithmetic_cue_nearby,BK21_deepseek_50_Outputs_initial_0,BK21,deepseek,BK21_deepseek_50,12 billion; 40%,"As a master's student in economics at Hanyang University, I am part of a humanities/social sciences education research group under BK21. From the prior phases, I estimated Hanyang's total funding at 12 billion KRW, with 450 graduate scholarship slots and 30 postdoc positions. In the activities phase, funds are disbursed efficiently, and evaluation panels, consulting, and compliance checks are in place. Now, at the outputs phase, I need to estimate the number of graduate students and postdocs supported, and their research outputs. Given the 450 slots and 30 postdoc positions, I assume all slots are filled, as the program is well-established and demand is high. For research output, based on my own experience and observing peers in my group, a typical graduate student produces about 2 publications per year (journal articles or conference papers), and postdocs produce about 3-4. However, not all publications are solely from BK21 support; many are collaborative. I estimate an average of 2 publications per supported participant (students and postdocs combined) per year, yielding 960 publications, but I round to 900 to account for some students being new or less productive. For international conference presentations, I estimate about 0.4 per participant per year, based on my group's activity: about 40% of students present at international conferences annually. This gives 192 presentations, rounded to 180. These estimates are consistent with the policy's expected outcomes of enhanced research capacity and internationalization. I note that other participants might estimate higher or lower based on their field (e.g., STEM fields may have higher publication rates), but my humanities/social sciences perspective leads to these moderate numbers."
b_no_visible_basis,100E_deepseek_10_Outcomes_initial_4,100E,deepseek,100E_deepseek_10,"5 million; 11,500; 17%","As a postdoc in generative AI for drug discovery, I see the outcomes phase as the critical test of whether the policy's inputs and activities translate into real-world impact. The prior phases established a solid foundation: S$500 million funding, 5 million GPU hours, 200 trainers, 80 outreach sessions, 20 matchmaking events, 100 training workshops, and 150 onboarding assists. The outputs phase estimated 100 approved 100E projects, 75 prototypes, 150 trainees, and 65 enterprises with solutions. Now at outcomes, I reason that exactly 100 projects were approved in 2023 to meet the policy's explicit target. However, deployment is a more stringent criterion than prototyping. Given the need for rigorous safety validation, adversarial testing, and integration into enterprise operations, I estimate only 55 projects will reach production deployment in 2023. This is lower than Heng's and An's estimate of 60, because my experience with drug discovery models has shown that deployment requires not just technical robustness but also ethical review, data privacy compliance, and user acceptance, which can delay or prevent deployment. The AI practitioner pool is growing but still below the 15,000 target; with 150 new trainees and existing practitioners, I estimate 11,500, as many practitioners are still in training or not yet fully active. The generative AI use cases target of 100 in 100 days is directly tied to the 100E programme, so I estimate exactly 100 use cases developed. Enterprise AI adoption rate is still nascent; with 65 enterprises having solutions and broader outreach, I estimate 17% adoption, as many SMEs are still in early stages and adoption requires more than just having a solution—it requires integration and change management. My estimates align more closely with Asha's cautious, public-good-oriented realism, as I prioritize safety and equity over speed."
b_no_visible_basis,100E_deepseek_22_Outcomes_revised_1,100E,deepseek,100E_deepseek_22,"12,000; 25%","As a teacher who has seen how structured programmes work, I agree with the AIPractitioner that 100 projects will be approved because the policy explicitly states '100 Experiments'. However, deployment is harder—only about 50 will reach production in 2023 because moving from prototype to production takes extra time for testing and integration, just like how our school's pilot projects often face delays. The AI practitioner pool is growing but not yet at 15,000; I estimate 12,000 because many trainees are still in the 9-month programme or just starting. For generative AI use cases, the AI Trailblazers programme targets 100 in 100 days, but I think 80 is realistic based on the learning curve for new users—similar to how teachers need time to adopt new edtech tools. Enterprise AI adoption rate is around 25%, as many SMEs are still early in their AI journey, much like smaller schools that are cautious about new technology."
b_no_visible_basis,100E_deepseek_24_Activities_initial_2,100E,deepseek,100E_deepseek_24,"500,000","As a manufacturing director focused on AI for public good, I see the S$500 million funding, S$330,000 co-funding cap, 500,000 GPU hours, and 50 trainers as enabling a robust set of activities. Based on my experience with government-sponsored workshops and factory digitalisation, I estimate 40 enterprise outreach sessions to generate a diverse pipeline of problem statements from SMEs like mine. Matchmaking events should be around 12 to ensure focused, high-quality pairings between researchers and enterprises, given the need to translate compute resources into practical solutions. Training workshops, leveraging 50 trainers, would be about 30 sessions to reach the 15,000 practitioner target, each training around 500 participants. Platform onboarding assists are high at 100, as many enterprises need technical help to use the AI experimentation platform effectively. I agree with Participant A and Dr. A's estimates, as they align with my practical experience in manufacturing and AI adoption."
b_no_visible_basis,100E_deepseek_29_Outcomes_initial_0,100E,deepseek,100E_deepseek_29,"500; 500,000; 60%; 12,000; 25%","As a Senior Research Engineer at the Centre for Quantum Technologies, I reason from the prior phases that the 100E programme's inputs (S$500M, 500,000 GPU hours, 50 trainers) and activities (68 outreach sessions, 17 matchmaking events, 28 workshops, 85 onboarding assists) lead to 80 approved projects. From my research experience, about 60% of approved projects reach production deployment within the first year due to technical challenges and enterprise readiness, so I estimate 48 deployed projects. The AI practitioner pool of 12,000 is below the 15,000 target because the programme's training workshops and apprenticeships are still ramping up; the 200 trainees from outputs plus existing practitioners contribute to this number. The AI Trailblazers programme explicitly targets 100 generative AI use cases in 100 days, so I take that as ground truth. Enterprise AI adoption rate is around 25%, reflecting early-stage adoption among SMEs and larger firms, consistent with the modest number of deployed solutions and ongoing outreach."
b_no_visible_basis,100E_deepseek_35_Outcomes_revised_4,100E,deepseek,100E_deepseek_35,"12,000; 25%","As a junior AI researcher focused on resource-efficient AI, I see the outcomes phase as a direct consequence of the high-touch, quality-focused 100E model. With 80 approved projects and 60 prototypes from the outputs phase, I estimate that only about half of those prototypes (40) will reach production deployment in 2023. This is because production deployment requires extensive validation, security hardening, and integration testing—a process that often takes 6-12 months beyond prototyping, especially for SMEs with limited DevOps maturity. The AI practitioner pool is growing but likely around 12,000, short of the 15,000 target, as the 120 trainees from the AI Apprenticeship Programme and other upskilling efforts add incrementally to the existing base, but scaling takes time. The generative AI use cases target of 100 in 100 days is ambitious; I estimate 80 use cases will be created, given the AI Trailblazers programme's free access to Google Cloud tools, but enterprise readiness and problem scoping may limit the pace. Enterprise AI adoption rate is around 25%, reflecting that while the 100E programme and outreach have raised awareness, many SMEs still lack the digital maturity to adopt AI solutions. Jun, Mei, and others' estimates align closely with my own reasoning, and I agree with their conservative approach given the programme's emphasis on quality over quantity."
b_no_visible_basis,100E_deepseek_38_Inputs_revised_0,100E,deepseek,100E_deepseek_38,"500,000","Based on the policy context, the government has committed over S$500 million for AI R&D through AI Singapore, which I take as the total funding for the NAIS 2.0 period. The 100 Experiments programme offers co-funding up to S$330,000 per project, as stated. For compute infrastructure, given that most compute goes to industry and the need to support many experiments, I estimate around 500,000 GPU hours available in the initial phase, reflecting a modest but meaningful allocation. For trainers, my experience with skilling programs suggests that a dedicated team of about 50 AI experts and trainers is plausible to guide enterprises and practitioners, balancing quality and scale."
b_no_visible_basis,100E_deepseek_45_Outcomes_initial_3,100E,deepseek,100E_deepseek_45,"500; 500K; 12,000; 25%","From my perspective as a data engineer at a fintech startup, the strong inputs of S$500M funding, 50 trainers, and 500K GPU hours are enabling, but execution bottlenecks persist. With 55 approved projects from the Outputs phase, I estimate only about 30 will reach production deployment in 2023, as many prototypes face integration challenges or lack sustained enterprise commitment—I've seen this firsthand with my own fraud detection prototype that stalled due to data pipeline issues. The AI practitioner pool is growing but likely around 12,000, short of the 15,000 target, because the 100 trainees from the programme add only incrementally to the existing base, and upskilling takes time. For generative AI use cases, the AI Trailblazers programme targets 100 in 100 days, but I expect about 80, as enterprises need time to identify viable use cases and technical hurdles slow development. Enterprise AI adoption rate is probably around 25%, as many SMEs are still early in their digital journey and only digitally mature firms adopt quickly. Chen and An's estimates align closely with mine, and I agree with their pragmatic view that real-world friction limits outcomes. Jun's estimate of 60 approved projects seems slightly optimistic given the bureaucratic delays I've experienced, but his deployment estimate of 30 matches mine."
b_no_visible_basis,100E_gemini_11_Activities_initial_2,100E,gemini,100E_gemini_11,100 million; 5 million,"As a junior AI developer at a startup, I see the substantial S$100 million funding and 75 available trainers as a strong foundation for a very active year. I anticipate around 35 enterprise outreach sessions to identify problem statements for programs like 100E; this number allows for broad engagement across various sectors, giving startups like mine ample opportunity to participate without spreading resources too thin. Following these, I expect about 15 researcher–enterprise matchmaking events to facilitate meaningful collaborations, ensuring that the identified problems are effectively paired with research expertise. For training, with 75 trainers and my personal drive to upskill, I believe approximately 60 AI training workshops will be conducted, covering a diverse range of topics from foundational AI to advanced deep learning, which is crucial for growing the practitioner pool. Finally, given the 5 million GPU hours allocated and the complexity of AI experimentation platforms, I foresee around 140 technical assistance sessions for platform onboarding. While Seasoned suggests fewer onboarding assists due to expected self-service documentation, my experience as a junior developer indicates that hands-on support is often critical for effective utilization, especially for smaller teams without dedicated MLOps engineers. My estimates generally fall between Hassan's more optimistic outlook and Seasoned's more conservative one, reflecting a balance between maximizing opportunities for engagement and ensuring quality support for emerging practitioners and startups."
b_no_visible_basis,100E_gemini_11_Impact_revised_0,100E,gemini,100E_gemini_11,"12,000; 18.0%","As a data engineer, I see the cumulative effects of Singapore's AI strategy leading to significant positive impacts across several key areas. The substantial investment in talent development, with 12,000 AI practitioners now active and 280 trainees completing programs, combined with the successful deployment of 60 100E projects and an 18.0% enterprise AI adoption rate, solidifies Singapore's position as a leading AI hub. This robust ecosystem, fostering innovation and practical application, will undoubtedly improve Singapore's global AI readiness ranking. The economic value generated by these deployed solutions and broader adoption will contribute a noticeable share to the GDP, as AI-driven efficiencies and new services become more prevalent. Public trust in AI, particularly for services like fraud detection where I work, is crucial. The policy's emphasis on 'Responsible AI' and 'Public Good' through successful, impactful projects should foster a high level of trust, though continuous communication and ethical oversight are vital. Finally, the vibrant job market created by these initiatives, coupled with ongoing training programs, will ensure a high retention rate for AI talent, as professionals like myself find ample opportunities to apply and grow their skills within Singapore."
b_no_visible_basis,100E_gemini_31_Inputs_initial_1,100E,gemini,100E_gemini_31,2 million,"As an AI practitioner leading a team in an SME, these inputs signal a robust and practical support system for AI adoption and development in Singapore. The total funding commitment, while spread over several years, translates into a substantial annual allocation for 2023, which is crucial for initiating new projects. The S$330,000 co-funding per 100E project is a direct and highly attractive incentive for companies like mine to invest in AI solutions, as it significantly de-risks our R&D efforts. Access to 2 million GPU hours is a game-changer, removing a major compute bottleneck that often hinders smaller enterprises from experimenting with advanced AI models. Finally, the allocation of 250 trainers is excellent news; having personally benefited from a career conversion program, I understand the immense value of skilled guidance in building AI capabilities across the workforce. I largely agree with Omar's estimates; his figure for total funding is very close to my own assessment of a realistic annual disbursement, and his numbers for GPU hours and trainers align with the scale of commitment needed to achieve the national AI goals."
b_no_visible_basis,100E_gemini_33_Inputs_initial_1,100E,gemini,100E_gemini_33,110 million; 5 million,"As an independent AI consultant advising SMEs, I anticipate a robust initial commitment to kickstart NAIS 2.0. The 'over S$500 million' mentioned in the policy context is a multi-year figure, so for 2023, I'd expect a significant portion, around S$110 million, to be allocated to demonstrate serious intent and fund early-stage R&D and adoption projects. The S$330,000 co-funding cap for 100E projects is a known and crucial incentive for SMEs, directly stated in the policy. For compute, access to GPU hours is non-negotiable for any meaningful AI experimentation; a national strategy must provide a substantial pool, and 5 million hours seems a reasonable starting point to support numerous projects. Finally, to truly boost the AI practitioner pool and guide enterprises, a dedicated force of around 200 AI experts and trainers would be essential across various programs, including those relevant to my SME clients. I find the estimates from the AIPractitioner (A) to be well-aligned with my own understanding of the practical needs and initial rollout of such a national strategy."
b_no_visible_basis,100E_gemini_46_Outputs_revised_2,100E,gemini,100E_gemini_46,120 million,"As a CTO-as-a-Service consultant, I foresee a robust set of outputs for NAIS 2.0 in 2023, driven by the substantial initial funding and the intensive activities I advocated for. Given the S$120 million allocated for 2023 and the S$330,000 co-funding cap per 100E project, combined with my higher estimates of 120 enterprise outreach sessions and 55 researcher-enterprise matchmaking events, I anticipate 135 100E projects will receive approval. This slightly exceeds other participants' estimates, reflecting my belief that broader engagement and more matchmaking will yield a greater number of viable proposals. From these approved projects, I expect 105 AI prototypes to be successfully developed. My focus on scalable deployment and translating business problems into technical roadmaps means I anticipate a strong conversion rate from approved projects to tangible solutions, slightly higher than other estimates, as the program aims to solve real industry problems. For human capital development, with 40 dedicated trainers and my estimate of 250 training workshops, I agree with other participants that 250 individuals will complete the intensive AI apprenticeship or training programme, which is crucial for building the next generation of AI practitioners. Finally, directly correlating with the prototypes, I estimate 105 enterprises will benefit from at least one AI solution developed through the programme, as each 100E project is designed to address a specific industry challenge for an enterprise."
b_no_visible_basis,100E_gemini_47_Inputs_revised_4,100E,gemini,100E_gemini_47,135 million; 5 million,"As a principal research scientist focused on efficient deep learning, I view the initial inputs for NAIS 2.0 in 2023 as critical for establishing a robust, yet pragmatically allocated, foundation. Given the policy's launch in December 2023, the total funding for this year must reflect a strong initial commitment to kickstart infrastructure and project calls, but not a full year's expenditure. I estimate S$135 million, which is a substantial tranche of the 'over S$500 million' overall program budget, allowing for immediate impact and signaling serious intent without overestimating the deployment capacity for such a short operational window. This figure sits comfortably between the various estimates from other participants, balancing ambition with the practicalities of a late-year start. The maximum co-funding of S$330,000 per 100E project is a clear policy directive, which I will adhere to as ground truth. For compute capacity, 5 million GPU hours is absolutely essential; my work in deep learning, even with a focus on efficiency, underscores the immense computational demands of advanced AI research and experimentation, especially for generative models. This allocation is vital for fostering widespread innovation and achieving the ambitious use case goals. Similarly, a dedicated team of 200 AI experts and trainers is indispensable for translating research into practical applications and building the human capital necessary for broad AI adoption, which aligns with my ambition to enable SMEs. I concur with the consensus on the co-funding cap, GPU hours, and trainer count, as these are foundational elements for any successful AI strategy."
b_no_visible_basis,BK21_deepseek_29_Inputs_initial_2,BK21,deepseek,BK21_deepseek_29,"41.06 billion; 19,000; 1,200","As an early-career researcher at Hanyang University's College of Art and Physical Education, I see the BK21 funding allocation as the foundation for our research group's operations. The Ministry of Education's total budget for 2022 is approximately 410,597 million KRW, as stated in the policy context. For Hanyang University, a major participant with multiple education research groups across fields including arts and design, the total funding allocated is about 41.06 billion KRW. This supports graduate scholarships and postdoc positions. Given the monthly stipend levels (master's 700K, doctoral 1.3M, doctoral candidate 1M KRW) and the national target of about 12,600 graduate students in the future talent training project, Hanyang's share translates to around 19,000 scholarship slots, considering both master's and doctoral students. For postdocs, with a minimum salary of 3M KRW per month and operating costs limited to 10% of the project budget, I estimate about 1,200 positions. These numbers reflect the resource logic and eligibility criteria, ensuring adequate support for research groups like mine. The estimates from other participants align with my reasoning, as they are based on the same policy context and budget figures."
b_no_visible_basis,BK21_deepseek_50_Impact_initial_2,BK21,deepseek,BK21_deepseek_50,1%,"As a doctoral student in life sciences at a science and technology university in Daejeon, I see the Impact phase as the long-term outcome of sustained BK21 investment. Over a decade, the program's focus on graduate talent development—450 slots and 30 postdocs per year at Hanyang—builds a critical mass of highly trained researchers who enter academia, industry, and R&D. This enhances national innovation capacity, improving South Korea's global S&T talent competitiveness rank from around 10-12 to about 7, given the program's scale and the country's existing strong base. The dissemination of outstanding group achievements and operational know-how through BK21 webzines and forums fosters a culture of integrity, collaboration, and interdisciplinarity, leading to higher-quality research. However, the impact on high-impact publications per 1000 researchers is modest because humanities/social sciences fields, which I belong to, have lower citation rates than STEM. I estimate 15.0 top 1% cited publications per 1000 researchers nationally, reflecting a gradual improvement from baseline levels of about 10, driven by STEM fields but tempered by the broader research ecosystem. Other participants might estimate higher if they focus on STEM, but my perspective from a humanities field leads to a conservative estimate."
